filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-3_STN340alt_I20190728_R20200109_BECU_IOP-CTD.csv;STN340alt;3_STN340alt;69.15125;-136.86346;2019-07-28 06:31;1;NA;SHINGLE POINT A;100.32;-0.0250716118942904
Nunataryuk_WP4-3_STN350_I20190728_R20200109_BECU_IOP-CTD.csv;STN350;3_STN350;69.11094;-136.79286;2019-07-28 06:06;1;NA;SHINGLE POINT A;100.32;-0.0250716118942904
Nunataryuk_WP4-3_STN360_I20190726_R20200109_BECU_IOP-CTD.csv;STN360;3_STN360;68.99806;-136.48368;2019-07-26 17:13;1;NA;SHINGLE POINT A;100.22;-0.030969869052198
Nunataryuk_WP4-3_STN370alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN370alt;3_STN370alt;68.95329;-136.25914;2019-07-26 16:36;1;NA;SHINGLE POINT A;100.22;-0.030969869052198
Nunataryuk_WP4-3_STN380_I20190726_R20200109_BECU_IOP-CTD.csv;STN380;3_STN380;68.83397;-135.82174;2019-07-26 15:36;1;NA;SHINGLE POINT A;100.22;-0.030969869052198
Nunataryuk_WP4-3_STN740_I20190802_R20200109_BECU_IOP-CTD.csv;STN740;3_STN740;69.4026;-133.85019;2019-08-02 11:37;1;NA;TUKTOYAKTUK A;101.31;0.0333211339689967
Nunataryuk_WP4-3_STN800_I20190802_R20200109_BECU_IOP-CTD.csv;STN800;3_STN800;69.59645;-133.44236;2019-08-02 17:39;1;NA;TUKTOYAKTUK A;101.38;0.0374499139795317
Nunataryuk_WP4-3_STN810_I20190802_R20200109_BECU_IOP-CTD.csv;STN810;3_STN810;69.53528;-133.41529;2019-08-02 18:21;1;NA;TUKTOYAKTUK A;101.38;0.0374499139795317
Nunataryuk_WP4-3_STN820_I20190802_R20200109_BECU_IOP-CTD.csv;STN820;3_STN820;69.48587;-133.54485;2019-08-02 18:48;1;NA;TUKTOYAKTUK A;101.35;0.0356804368321599
Nunataryuk_WP4-3_STN830_I20190802_R20200109_BECU_IOP-CTD.csv;STN830;3_STN830;69.43292;-133.65812;2019-08-02 13:30;1;NA;TUKTOYAKTUK A;101.38;0.0374499139795317
Nunataryuk_WP4-3_STN840_I20190802_R20200109_BECU_IOP-CTD.csv;STN840;3_STN840;69.39808;-133.80914;2019-08-02 12:02;1;NA;TUKTOYAKTUK A;101.31;0.0333211339689967
Nunataryuk_WP4-3_STN850_I20190802_R20200109_BECU_IOP-CTD.csv;STN850;3_STN850;69.36752;-133.89292;2019-08-02 11:07;1;NA;TUKTOYAKTUK A;101.27;0.0309618311058335
Nunataryuk_WP4-3_STN860_I20190802_R20200109_BECU_IOP-CTD.csv;STN860;3_STN860;69.35354;-133.92641;2019-08-02 10:42;1;NA;TUKTOYAKTUK A;101.27;0.0309618311058335
Nunataryuk_WP4-3_STN870_I20190802_R20200109_BECU_IOP-CTD.csv;STN870;3_STN870;69.28448;-133.96856;2019-08-02 09:52;1;NA;TUKTOYAKTUK A;101.21;0.0274228768110891
Nunataryuk_WP4-3_STNR01_I20190729_R20200109_BECU_IOP-CTD.csv;STNR01;3_STNR01;68.75653;-135.87326;2019-07-30 01:02;1;NA;SHINGLE POINT A;100.7;-0.00265823469424031
Nunataryuk_WP4-3_STNR02_I20190729_R20200109_BECU_IOP-CTD.csv;STNR02;3_STNR02;68.60859;-135.74576;2019-07-30 01:39;1;NA;AKLAVIK A;101.19;0.0262432253795071
Nunataryuk_WP4-3_STNR03_I20190729_R20200109_BECU_IOP-CTD.csv;STNR03;3_STNR03;68.39022;-135.42656;2019-07-30 02:43;1;NA;AKLAVIK A;101.18;0.0256533996637165
Nunataryuk_WP4-3_STNR04_I20190729_R20200109_BECU_IOP-CTD.csv;STNR04;3_STNR04;68.26666;-135.10016;2019-07-30 03:26;1;NA;AKLAVIK A;101.18;0.0256533996637165
Nunataryuk_WP4-3_STNR05_I20190729_R20200109_BECU_IOP-CTD.csv;STNR05;3_STNR05;68.26783;-134.83615;2019-07-29 16:29;1;NA;AKLAVIK A;101.2;0.0268330510952985
Nunataryuk_WP4-3_STNR06_I20190729_R20200109_BECU_IOP-CTD.csv;STNR06;3_STNR06;68.31478;-134.70374;2019-07-29 16:56;1;NA;AKLAVIK A;101.21;0.0274228768110891
Nunataryuk_WP4-3_STNR07_I20190729_R20200109_BECU_IOP-CTD.csv;STNR07;3_STNR07;68.34981;-134.66971;2019-07-29 17:19;1;NA;AKLAVIK A;101.21;0.0274228768110891
Nunataryuk_WP4-3_STNR08_I20190729_R20200109_BECU_IOP-CTD.csv;STNR08;3_STNR08;68.44618;-134.49945;2019-07-29 17:44;1;NA;AKLAVIK A;101.25;0.0297821796742523
Nunataryuk_WP4-3_STNR09_I20190729_R20200109_BECU_IOP-CTD.csv;STNR09;3_STNR09;68.47059;-134.09022;2019-07-29 18:25;1;NA;INUVIK CLIMATE;100.02;-0.0427663833680141
Nunataryuk_WP4-3_STNR10_I20190729_R20200109_BECU_IOP-CTD.csv;STNR10;3_STNR10;68.5004;-134.00767;2019-07-29 19:05;1;NA;INUVIK CLIMATE;100.03;-0.0421765576522226
Nunataryuk_WP4-3_STNR11_I20190729_R20200109_BECU_IOP-CTD.csv;STNR11;3_STNR11;68.48715;-133.9246;2019-07-29 19:26;1;NA;INUVIK CLIMATE;100.03;-0.0421765576522226
Nunataryuk_WP4-3_STNR12_I20190729_R20200109_BECU_IOP-CTD.csv;STNR12;3_STNR12;68.42444;-133.82076;2019-07-29 19:46;1;NA;INUVIK CLIMATE;100.03;-0.0421765576522226
Nunataryuk_WP4-4_STN010_I20190906_R20200109_BECU_IOP-CTD.csv;STN010;4_STN010;69.45651;-133.147;2019-09-06 18:11;1;NA;TUKTOYAKTUK A;102.03;0.0757885855059328
Nunataryuk_WP4-4_STN020_I20190906_R20200109_BECU_IOP-CTD.csv;STN020;4_STN020;69.41588;-133.52;2019-09-06 17:34;1;NA;TUKTOYAKTUK A;102.03;0.0757885855059328
Nunataryuk_WP4-4_STN030_I20190906_R20200109_BECU_IOP-CTD.csv;STN030;4_STN030;69.39579;-133.641;2019-09-06 17:10;1;NA;TUKTOYAKTUK A;102.04;0.0763784112217243
Nunataryuk_WP4-4_STN040_I20190906_R20200109_BECU_IOP-CTD.csv;STN040;4_STN040;69.36171;-133.74;2019-09-06 16:49;1;NA;TUKTOYAKTUK A;102.04;0.0763784112217243
