"Profile_ID";"filename";"station_name";"lat_dec_deg";"lon_dec_deg";"date_heure_UTC";"date_heure_MDT";"flag_qc";"EC_Press_dbar_val";"tare_depth";"comment";"closest_EC_sector"
79;"Nunataryuk_WP4-2_st140-alt_I20190621_R20200109_BECU_IOP-CTD-d01.csv";"st140-alt";69.02056;-137.32157;"2019-06-21 18:51:00";"2019-06-21 12:51:00";1;101.02;0.0162161882110636;NA;"SHINGLE POINT A"
80;"Nunataryuk_WP4-2_st150-alt_I20190618_R20200109_BECU_IOP-CTD-d01.csv";"st150-alt";68.98883;-137.03998;"2019-06-18 21:18:00";"2019-06-18 15:18:00";1;101.17;0.025063573947925;NA;"SHINGLE POINT A"
81;"Nunataryuk_WP4-2_st1030_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st1030";69.64852;-133.2175;"2019-06-27 22:05:00";"2019-06-27 16:05:00";1;101.93;0.0698903283480252;NA;"TUKTOYAKTUK A"
82;"Nunataryuk_WP4-2_st1030_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st1030";69.64852;-133.2175;"2019-06-27 22:05:00";"2019-06-27 16:05:00";0;101.93;0.0698903283480252;NA;"TUKTOYAKTUK A"
83;"Nunataryuk_WP4-2_st1040_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st1040";69.61363;-133.33506;"2019-06-27 21:41:00";"2019-06-27 15:41:00";1;101.93;0.0698903283480252;NA;"TUKTOYAKTUK A"
84;"Nunataryuk_WP4-2_st1040_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st1040";69.61363;-133.33506;"2019-06-27 21:41:00";"2019-06-27 15:41:00";0;101.93;0.0698903283480252;NA;"TUKTOYAKTUK A"
85;"Nunataryuk_WP4-2_st1050_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st1050";69.57692;-133.36053;"2019-06-27 22:35:00";"2019-06-27 16:35:00";1;101.92;0.0693005026322346;NA;"TUKTOYAKTUK A"
86;"Nunataryuk_WP4-2_st1050_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st1050";69.57692;-133.36053;"2019-06-27 22:35:00";"2019-06-27 16:35:00";0;101.92;0.0693005026322346;NA;"TUKTOYAKTUK A"
87;"Nunataryuk_WP4-2_st1060_I20190627_R20200109_BECU_IOP-CTD-d01.csv";"st1060";69.47802;-133.42993;"2019-06-27 23:05:00";"2019-06-27 17:05:00";1;101.92;0.0693005026322346;NA;"TUKTOYAKTUK A"
88;"Nunataryuk_WP4-2_st1060_I20190627_R20200109_BECU_IOP-CTD-u01.csv";"st1060";69.47802;-133.42993;"2019-06-27 23:05:00";"2019-06-27 17:05:00";0;101.92;0.0693005026322346;NA;"TUKTOYAKTUK A"
