filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-2_st800_I20190624_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.13;4;15.0;-0.05;30.0;1
Nunataryuk_WP4-2_st800_I20190624_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;4;15.0;-0.05;30.0;1
Nunataryuk_WP4-2_st800_I20190624_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.10;4;15.0;-0.05;30.0;0
Nunataryuk_WP4-2_st800_I20190624_R20200109_BECU_IOP-CTD-u02.csv;3;loess;0.10;4;15.0;-0.05;30.0;0
Nunataryuk_WP4-2_st810_I20190624_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.15;-2.0;15.0;-0.05;25.0;1
Nunataryuk_WP4-2_st810_I20190624_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.20;-2.0;15.0;-0.05;25.0;0
Nunataryuk_WP4-2_st820_I20190624_R20200109_BECU_IOP-CTD-d01.csv;19;loess;0.60;13.0;16.0;0.00;3.0;0
Nunataryuk_WP4-2_st820_I20190624_R20200109_BECU_IOP-CTD-u01.csv;25;loess;0.35;13.0;16.0;0.00;3.0;0
Nunataryuk_WP4-2_st830_I20190627_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st830_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.20;11.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st840_I20190627_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st840_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.10;11.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st850_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.20;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st850_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.20;11.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st860_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st860_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;13.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st870_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;13.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st870_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;10.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st999_I20190628_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;-2.0;11.0;-0.05;30.0;1
Nunataryuk_WP4-2_st999_I20190628_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;-2.0;11.0;-0.05;30.0;0
Nunataryuk_WP4-3_st010_I20190802_R20200109_BECU_IOP-CTD-d01.csv;9;loess;0.07;11.0;13.0;14.0;18.0;1
Nunataryuk_WP4-3_st020_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.13;15.0;15.5;2.0;5.0;1
Nunataryuk_WP4-3_st030_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;15.5;16.5;0.10;0.20;1
Nunataryuk_WP4-3_st040_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;15.5;16.5;0.10;0.20;1
Nunataryuk_WP4-3_st1030_I20190802_R20200109_BECU_IOP-CTD-d01.csv;15;loess;0.12;07.5;08.5;27.5;28.5;1
Nunataryuk_WP4-3_st1040_I20190802_R20200109_BECU_IOP-CTD-d01.csv;13;loess;0.12;07.5;08.5;28.0;29.0;1
